a,b,n_a,n_b,median_a,median_b,U,p,p_bonf,r_rb,sig
claude-sonnet-4.6,deepseek-v3.2,1425,1425,2.0,1.75,1195595.0,1.8643580974510582e-16,1.118614858470635e-15,-0.17756355801785162,***
claude-sonnet-4.6,gemini-3-flash-preview,1425,1425,2.0,1.625,1309589.0,3.6834535262235935e-41,2.210072115734156e-40,-0.28983835026161886,***
claude-sonnet-4.6,gpt-5.3-chat,1425,1425,2.0,3.0,221083.5,2.5418322818540457e-294,1.5250993691124275e-293,0.782250784856879,***
deepseek-v3.2,gemini-3-flash-preview,1425,1425,1.75,1.625,1113293.5,7.702407343686461e-06,4.621444406211877e-05,-0.09650329332102192,***
deepseek-v3.2,gpt-5.3-chat,1425,1425,1.75,3.0,302609.5,2.795959501273532e-240,1.6775757007641193e-239,0.7019543244075099,***
gemini-3-flash-preview,gpt-5.3-chat,1425,1425,1.625,3.0,264289.5,2.0538700442097635e-266,1.2323220265258581e-265,0.7396963988919667,***
