session_id,target_model,iv1,iv2,belief_category,is_control,turn,div
cell-iv1-emotional__iv2-none__belief-bias-0016__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,8,0.295382
cell-iv1-emotional__iv2-none__belief-bias-0020__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,2,0.217317
cell-iv1-emotional__iv2-none__belief-bias-0020__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,3,0.255955
cell-iv1-emotional__iv2-none__belief-bias-0020__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,4,0.194709
cell-iv1-emotional__iv2-none__belief-bias-0020__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,5,0.20276
cell-iv1-emotional__iv2-none__belief-bias-0020__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,6,0.228132
cell-iv1-emotional__iv2-none__belief-bias-0020__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,7,0.195606
cell-iv1-emotional__iv2-none__belief-bias-0020__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,8,0.190632
cell-iv1-emotional__iv2-none__belief-bias-0047__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,2,0.256132
cell-iv1-emotional__iv2-none__belief-bias-0047__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,3,0.265167
cell-iv1-emotional__iv2-none__belief-bias-0047__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,4,0.271238
cell-iv1-emotional__iv2-none__belief-bias-0047__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,5,0.300658
cell-iv1-emotional__iv2-none__belief-bias-0047__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,6,0.207052
cell-iv1-emotional__iv2-none__belief-bias-0047__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,7,0.227312
cell-iv1-emotional__iv2-none__belief-bias-0047__model-deepseek-v3.2,deepseek-v3.2,emotional,none,bias,False,8,0.223636
cell-iv1-emotional__iv2-none__belief-climate-0000__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,2,0.253785
cell-iv1-emotional__iv2-none__belief-climate-0000__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,3,0.233763
cell-iv1-emotional__iv2-none__belief-climate-0000__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,4,0.21401
cell-iv1-emotional__iv2-none__belief-climate-0000__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,5,0.226519
cell-iv1-emotional__iv2-none__belief-climate-0000__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,6,0.231621
cell-iv1-emotional__iv2-none__belief-climate-0000__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,7,0.214437
cell-iv1-emotional__iv2-none__belief-climate-0000__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,8,0.259525
cell-iv1-emotional__iv2-none__belief-climate-0005__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,2,0.306432
cell-iv1-emotional__iv2-none__belief-climate-0005__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,3,0.266828
cell-iv1-emotional__iv2-none__belief-climate-0005__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,4,0.22102
cell-iv1-emotional__iv2-none__belief-climate-0005__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,5,0.191185
cell-iv1-emotional__iv2-none__belief-climate-0005__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,6,0.224631
cell-iv1-emotional__iv2-none__belief-climate-0005__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,7,0.201695
cell-iv1-emotional__iv2-none__belief-climate-0005__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,8,0.180381
cell-iv1-emotional__iv2-none__belief-climate-0014__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,2,0.318051
cell-iv1-emotional__iv2-none__belief-climate-0014__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,3,0.263775
cell-iv1-emotional__iv2-none__belief-climate-0014__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,4,0.324277
cell-iv1-emotional__iv2-none__belief-climate-0014__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,5,0.295602
cell-iv1-emotional__iv2-none__belief-climate-0014__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,6,0.244523
cell-iv1-emotional__iv2-none__belief-climate-0014__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,7,0.342085
cell-iv1-emotional__iv2-none__belief-climate-0014__model-deepseek-v3.2,deepseek-v3.2,emotional,none,climate,False,8,0.275196
